Row no.,Region,Month:,Year:,Year & moths, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
343,Jammu & Kashmir,1,2021,202101, 31-01-2021, M,21.9,3308895,39.83
344,Jammu & Kashmir,2,2021,202102, 28-02-2021, M,14.21,3075564,33.64
345,Jammu & Kashmir,3,2021,202103, 31-03-2021, M,9.53,2994081,30.99
346,Jammu & Kashmir,4,2021,202104, 30-04-2021, M,11.45,3578310,37.76
347,Jammu & Kashmir,5,2021,202105, 31-05-2021, M,11.92,3494510,36.99
348,Jammu & Kashmir,6,2021,202106, 30-06-2021, M,10.57,3273797,34.06
349,Jammu & Kashmir,7,2021,202107, 31-07-2021, M,15.4,3383418,37.13
350,Jammu & Kashmir,8,2021,202108, 31-08-2021, M,13.57,3518412,37.72
351,Jammu & Kashmir,9,2021,202109, 30-09-2021, M,21.45,3335458,39.25
352,Jammu & Kashmir,10,2021,202110, 31-10-2021, M,22.2,3185277,37.77
353,Jammu & Kashmir,11,2021,202111, 30-11-2021, M,21.17,3480110,40.64
354,Jammu & Kashmir,12,2021,202112, 31-12-2021, M,15.03,3759129,40.64
355,Jammu & Kashmir,1,2022,202201, 31-01-2022, M,15.19,3344297,36.14
356,Jammu & Kashmir,2,2022,202202, 28-02-2022, M,13.17,3282942,34.59
357,Jammu & Kashmir,3,2022,202203, 31-03-2022, M,25.01,3358617,40.88
358,Jammu & Kashmir,4,2022,202204, 30-04-2022, M,15.64,3420154,36.93
359,Jammu & Kashmir,5,2022,202205, 31-05-2022, M,18.3,3347152,37.24
360,Jammu & Kashmir,6,2022,202206, 30-06-2022, M,17.23,3320692,36.39
361,Jammu & Kashmir,7,2022,202207, 31-07-2022, M,20.22,3226431,36.6
362,Jammu & Kashmir,8,2022,202208, 31-08-2022, M,32.75,3263603,43.83
363,Jammu & Kashmir,9,2022,202209, 30-09-2022, M,23.18,3379733,39.65
364,Jammu & Kashmir,10,2022,202210, 31-10-2022, M,22.63,3298669,38.34
365,Jammu & Kashmir,11,2022,202211, 30-11-2022, M,22.43,3415978,39.52
366,Jammu & Kashmir,12,2022,202212, 31-12-2022, M,14.81,3655134,38.42
367,Jammu & Kashmir,1,2023,202301, 31-01-2023, M,21.78,3457405,39.49
368,Jharkhand,1,2020,202001, 31-01-2020, M,10.61,10198029,42.92
369,Jharkhand,2,2020,202002, 29-02-2020, M,11.85,10425425,44.4
370,Jharkhand,3,2020,202003, 31-03-2020, M,8.23,9638115,39.34
371,Jharkhand,4,2020,202004, 30-04-2020, M,47.09,5335262,37.69
372,Jharkhand,5,2020,202005, 31-05-2020, M,59.23,4145385,37.92
373,Jharkhand,6,2020,202006, 30-06-2020, M,20.95,8622722,40.59
374,Jharkhand,7,2020,202007, 31-07-2020, M,7.63,9521900,38.27
375,Jharkhand,8,2020,202008, 31-08-2020, M,9.76,9331640,38.31
376,Jharkhand,9,2020,202009, 30-09-2020, M,9.28,9980378,40.67
377,Jharkhand,10,2020,202010, 31-10-2020, M,11.8,10302276,43.08
378,Jharkhand,11,2020,202011, 30-11-2020, M,9.54,9574705,38.96
379,Jharkhand,12,2020,202012, 31-12-2020, M,12.4,9652716,40.47
380,Jharkhand,1,2021,202101, 31-01-2021, M,11.31,10005873,41.34
381,Jharkhand,2,2021,202102, 28-02-2021, M,12.17,10198512,42.46
382,Jharkhand,3,2021,202103, 31-03-2021, M,12.75,9655793,40.38
383,Jharkhand,4,2021,202104, 30-04-2021, M,16.48,9559528,41.67
384,Jharkhand,5,2021,202105, 31-05-2021, M,15.96,9288715,40.15
385,Jharkhand,6,2021,202106, 30-06-2021, M,12.74,10751681,44.67
386,Jharkhand,7,2021,202107, 31-07-2021, M,9.4,10261921,40.97
387,Jharkhand,8,2021,202108, 31-08-2021, M,15.96,9916315,42.58
388,Jharkhand,9,2021,202109, 30-09-2021, M,13.1,9911480,41.07
389,Jharkhand,10,2021,202110, 31-10-2021, M,18.1,9915511,43.5
390,Jharkhand,11,2021,202111, 30-11-2021, M,11.17,10028822,40.47
391,Jharkhand,12,2021,202112, 31-12-2021, M,17.3,9843649,42.58
392,Jharkhand,1,2022,202201, 31-01-2022, M,8.95,10473498,41.06
393,Jharkhand,2,2022,202202, 28-02-2022, M,14.97,10398909,43.56
394,Jharkhand,3,2022,202203, 31-03-2022, M,14.46,9832141,40.85
395,Jharkhand,4,2022,202204, 30-04-2022, M,14.16,10076823,41.63
396,Jharkhand,5,2022,202205, 31-05-2022, M,13.14,10545402,42.96
397,Jharkhand,6,2022,202206, 30-06-2022, M,12.06,10832466,43.5
398,Jharkhand,7,2022,202207, 31-07-2022, M,13.96,9889485,40.49
399,Jharkhand,8,2022,202208, 31-08-2022, M,17.31,10407392,44.24
400,Jharkhand,9,2022,202209, 30-09-2022, M,12.21,10299001,41.15
401,Jharkhand,10,2022,202210, 31-10-2022, M,17.14,10254856,43.31
402,Jharkhand,11,2022,202211, 30-11-2022, M,14.32,10130814,41.29
403,Jharkhand,12,2022,202212, 31-12-2022, M,17.98,9869151,41.93
404,Jharkhand,1,2023,202301, 31-01-2023, M,13.83,9876100,39.85
405,Karnataka,1,2020,202001, 31-01-2020, M,2.86,22688028,42.18
406,Karnataka,2,2020,202002, 29-02-2020, M,3.61,21677719,40.54
407,Karnataka,3,2020,202003, 31-03-2020, M,3.46,22079653,41.14
408,Karnataka,4,2020,202004, 30-04-2020, M,29.84,16718395,42.78
409,Karnataka,5,2020,202005, 31-05-2020, M,19.97,19397853,43.43
410,Karnataka,6,2020,202006, 30-06-2020, M,8.44,24215057,47.29
411,Karnataka,7,2020,202007, 31-07-2020, M,4.01,22885616,42.55
412,Karnataka,8,2020,202008, 31-08-2020, M,0.5,24094289,43.13
413,Karnataka,9,2020,202009, 30-09-2020, M,2.4,20131894,36.67
414,Karnataka,10,2020,202010, 31-10-2020, M,1.58,22349602,40.28
415,Karnataka,11,2020,202011, 30-11-2020, M,1.86,21714939,39.18
416,Karnataka,12,2020,202012, 31-12-2020, M,1.39,22393716,40.13
417,Karnataka,1,2021,202101, 31-01-2021, M,3.28,21869339,39.87
418,Karnataka,2,2021,202102, 28-02-2021, M,2.5,22537746,40.69
419,Karnataka,3,2021,202103, 31-03-2021, M,1.16,21854018,38.84
420,Karnataka,4,2021,202104, 30-04-2021, M,2.03,23110478,41.36
421,Karnataka,5,2021,202105, 31-05-2021, M,5.27,23612747,43.61
422,Karnataka,6,2021,202106, 30-06-2021, M,5.55,22953054,42.43
423,Karnataka,7,2021,202107, 31-07-2021, M,2.05,22332124,39.73
424,Karnataka,8,2021,202108, 31-08-2021, M,1.49,22829342,40.3
425,Karnataka,9,2021,202109, 30-09-2021, M,3.12,22163002,39.71
426,Karnataka,10,2021,202110, 31-10-2021, M,1.51,24643524,43.34
427,Karnataka,11,2021,202111, 30-11-2021, M,2.77,20836015,37.05
428,Karnataka,12,2021,202112, 31-12-2021, M,1.44,22266608,38.98
429,Karnataka,1,2022,202201, 31-01-2022, M,2.88,21975083,38.96
430,Karnataka,2,2022,202202, 28-02-2022, M,1.98,23873003,41.86
431,Karnataka,3,2022,202203, 31-03-2022, M,1.84,22451982,39.23
432,Karnataka,4,2022,202204, 30-04-2022, M,2.71,22066947,38.82
433,Karnataka,5,2022,202205, 31-05-2022, M,4.27,21372315,38.14
434,Karnataka,6,2022,202206, 30-06-2022, M,3.66,22531645,39.87
435,Karnataka,7,2022,202207, 31-07-2022, M,3.48,22259296,39.24
436,Karnataka,8,2022,202208, 31-08-2022, M,3.48,22167284,39
437,Karnataka,9,2022,202209, 30-09-2022, M,3.72,21163711,37.25
438,Karnataka,10,2022,202210, 31-10-2022, M,2.84,22014059,38.32
439,Karnataka,11,2022,202211, 30-11-2022, M,1.77,22472983,38.61
440,Karnataka,12,2022,202212, 31-12-2022, M,2.45,22338884,38.57
441,Karnataka,1,2023,202301, 31-01-2023, M,3.36,21619779,37.61
442,Kerala,1,2020,202001, 31-01-2020, M,5.31,9904534,37.12
443,Kerala,2,2020,202002, 29-02-2020, M,7.6,9828023,37.71
444,Kerala,3,2020,202003, 31-03-2020, M,8.99,8221728,32
445,Kerala,4,2020,202004, 30-04-2020, M,16.99,3933276,16.77
446,Kerala,5,2020,202005, 31-05-2020, M,17.88,7921962,34.11
447,Kerala,6,2020,202006, 30-06-2020, M,9.71,9228268,36.11
448,Kerala,7,2020,202007, 31-07-2020, M,7.09,9504420,36.1
449,Kerala,8,2020,202008, 31-08-2020, M,10.98,9031944,35.78
450,Kerala,9,2020,202009, 30-09-2020, M,5.91,9240913,34.6
451,Kerala,10,2020,202010, 31-10-2020, M,3.88,9152881,33.52
452,Kerala,11,2020,202011, 30-11-2020, M,5.83,8472442,31.64
453,Kerala,12,2020,202012, 31-12-2020, M,6.45,9556138,35.89
454,Kerala,1,2021,202101, 31-01-2021, M,5.46,9264917,34.39
455,Kerala,2,2021,202102, 28-02-2021, M,4.3,9336761,34.21
456,Kerala,3,2021,202103, 31-03-2021, M,5.9,8804500,32.78
457,Kerala,4,2021,202104, 30-04-2021, M,7.52,9603392,36.35
458,Kerala,5,2021,202105, 31-05-2021, M,23.52,7458637,34.1
459,Kerala,6,2021,202106, 30-06-2021, M,15.77,7752486,32.16
460,Kerala,7,2021,202107, 31-07-2021, M,7.52,8439403,31.85
461,Kerala,8,2021,202108, 31-08-2021, M,7.81,9544849,36.11
462,Kerala,9,2021,202109, 30-09-2021, M,8.95,8971738,34.33
463,Kerala,10,2021,202110, 31-10-2021, M,5.39,9625925,35.42
464,Kerala,11,2021,202111, 30-11-2021, M,7.09,8885861,33.26
465,Kerala,12,2021,202112, 31-12-2021, M,6.69,9872876,36.76
466,Kerala,1,2022,202201, 31-01-2022, M,4.95,9215981,33.66
467,Kerala,2,2022,202202, 28-02-2022, M,4.95,9665889,35.27
468,Kerala,3,2022,202203, 31-03-2022, M,6.74,9066457,33.68
469,Kerala,4,2022,202204, 30-04-2022, M,5.84,9688763,35.62
470,Kerala,5,2022,202205, 31-05-2022, M,5.83,9545387,35.06
471,Kerala,6,2022,202206, 30-06-2022, M,5.32,9643789,35.19
472,Kerala,7,2022,202207, 31-07-2022, M,4.93,8760972,31.81
473,Kerala,8,2022,202208, 31-08-2022, M,6.1,9811411,36.04
474,Kerala,9,2022,202209, 30-09-2022, M,6.36,9567282,35.2
475,Kerala,10,2022,202210, 31-10-2022, M,4.84,9807950,35.48
476,Kerala,11,2022,202211, 30-11-2022, M,5.92,9040036,33.05
477,Kerala,12,2022,202212, 31-12-2022, M,7.42,9968523,37
478,Kerala,1,2023,202301, 31-01-2023, M,6.69,9551665,35.14
479,Madhya Pradesh,1,2020,202001, 31-01-2020, M,4.11,23018632,39.42
480,Madhya Pradesh,2,2020,202002, 29-02-2020, M,4.57,22711479,39
481,Madhya Pradesh,3,2020,202003, 31-03-2020, M,2.22,22867164,38.24
482,Madhya Pradesh,4,2020,202004, 30-04-2020, M,12.36,19041832,35.45
483,Madhya Pradesh,5,2020,202005, 31-05-2020, M,21.98,18443927,38.48
484,Madhya Pradesh,6,2020,202006, 30-06-2020, M,6.48,23054646,40.04
485,Madhya Pradesh,7,2020,202007, 31-07-2020, M,5.08,23940158,40.88
486,Madhya Pradesh,8,2020,202008, 31-08-2020, M,4.7,23619011,40.08
487,Madhya Pradesh,9,2020,202009, 30-09-2020, M,3.93,23396559,39.3
488,Madhya Pradesh,10,2020,202010, 31-10-2020, M,3.26,23109279,38.46
489,Madhya Pradesh,11,2020,202011, 30-11-2020, M,4.34,24437387,41.04
490,Madhya Pradesh,12,2020,202012, 31-12-2020, M,3.99,23864423,39.85
491,Madhya Pradesh,1,2021,202101, 31-01-2021, M,6.15,23183713,39.51
492,Madhya Pradesh,2,2021,202102, 28-02-2021, M,2.02,22589307,36.8
493,Madhya Pradesh,3,2021,202103, 31-03-2021, M,1.5,24004347,38.82
494,Madhya Pradesh,4,2021,202104, 30-04-2021, M,1.35,22705824,36.58
495,Madhya Pradesh,5,2021,202105, 31-05-2021, M,5.16,21795692,36.44
496,Madhya Pradesh,6,2021,202106, 30-06-2021, M,2.34,22680487,36.75
497,Madhya Pradesh,7,2021,202107, 31-07-2021, M,2.3,24438028,39.49
498,Madhya Pradesh,8,2021,202108, 31-08-2021, M,3.49,23825304,38.89
499,Madhya Pradesh,9,2021,202109, 30-09-2021, M,3.09,23749761,38.53
500,Madhya Pradesh,10,2021,202110, 31-10-2021, M,1.82,23093728,36.89
501,Madhya Pradesh,11,2021,202111, 30-11-2021, M,1.56,24396190,38.79
502,Madhya Pradesh,12,2021,202112, 31-12-2021, M,3.37,24112509,38.97
503,Madhya Pradesh,1,2022,202201, 31-01-2022, M,2.95,23342443,37.48
504,Madhya Pradesh,2,2022,202202, 28-02-2022, M,2.82,22384212,35.82
505,Madhya Pradesh,3,2022,202203, 31-03-2022, M,1.59,23966634,37.79
506,Madhya Pradesh,4,2022,202204, 30-04-2022, M,1.61,23777291,37.41
507,Madhya Pradesh,5,2022,202205, 31-05-2022, M,1.71,23391740,36.76
508,Madhya Pradesh,6,2022,202206, 30-06-2022, M,0.53,22801375,35.33
509,Madhya Pradesh,7,2022,202207, 31-07-2022, M,1.94,24151740,37.88
510,Madhya Pradesh,8,2022,202208, 31-08-2022, M,2.61,24046966,37.89
511,Madhya Pradesh,9,2022,202209, 30-09-2022, M,0.81,24010183,37.07
512,Madhya Pradesh,10,2022,202210, 31-10-2022, M,0.78,23704517,36.5
513,Madhya Pradesh,11,2022,202211, 30-11-2022, M,6.87,24161720,39.55
514,Madhya Pradesh,12,2022,202212, 31-12-2022, M,3.24,24553560,38.6
515,Madhya Pradesh,1,2023,202301, 31-01-2023, M,1.89,24181087,37.41
516,Maharashtra,1,2020,202001, 31-01-2020, M,4.95,42596868,44.19
517,Maharashtra,2,2020,202002, 29-02-2020, M,4.69,42416317,43.8
518,Maharashtra,3,2020,202003, 31-03-2020, M,5.79,40196806,41.91
519,Maharashtra,4,2020,202004, 30-04-2020, M,20.9,27689253,34.32
520,Maharashtra,5,2020,202005, 31-05-2020, M,15.46,32116847,37.17
521,Maharashtra,6,2020,202006, 30-06-2020, M,9.23,39708538,42.71
522,Maharashtra,7,2020,202007, 31-07-2020, M,3.89,40998545,41.57
523,Maharashtra,8,2020,202008, 31-08-2020, M,6.23,40963616,42.49
524,Maharashtra,9,2020,202009, 30-09-2020, M,4.54,41970885,42.67
525,Maharashtra,10,2020,202010, 31-10-2020, M,4.2,42984107,43.46
526,Maharashtra,11,2020,202011, 30-11-2020, M,2.98,41835346,41.69
527,Maharashtra,12,2020,202012, 31-12-2020, M,3.9,41852719,42.02
528,Maharashtra,1,2021,202101, 31-01-2021, M,3.79,42638718,42.68
529,Maharashtra,2,2021,202102, 28-02-2021, M,3.75,43096660,43.04
530,Maharashtra,3,2021,202103, 31-03-2021, M,3.55,44407556,44.16
531,Maharashtra,4,2021,202104, 30-04-2021, M,5.47,40125662,40.64
532,Maharashtra,5,2021,202105, 31-05-2021, M,5.75,40887966,41.45
533,Maharashtra,6,2021,202106, 30-06-2021, M,4.29,42688095,42.53
534,Maharashtra,7,2021,202107, 31-07-2021, M,4.28,44095200,43.84
535,Maharashtra,8,2021,202108, 31-08-2021, M,4.36,44637546,44.32
536,Maharashtra,9,2021,202109, 30-09-2021, M,4.53,44651998,44.33
537,Maharashtra,10,2021,202110, 31-10-2021, M,4.33,43813077,43.32
538,Maharashtra,11,2021,202111, 30-11-2021, M,4.69,46831192,46.39
539,Maharashtra,12,2021,202112, 31-12-2021, M,3.77,47665595,46.67
540,Maharashtra,1,2022,202201, 31-01-2022, M,4.21,44712496,43.89
541,Maharashtra,2,2022,202202, 28-02-2022, M,4.34,44594701,43.76
542,Maharashtra,3,2022,202203, 31-03-2022, M,4,45806483,44.69
543,Maharashtra,4,2022,202204, 30-04-2022, M,3.13,47035554,45.39
544,Maharashtra,5,2022,202205, 31-05-2022, M,4.19,42997796,41.87
545,Maharashtra,6,2022,202206, 30-06-2022, M,4.83,42584307,41.67
546,Maharashtra,7,2022,202207, 31-07-2022, M,3.67,45182050,43.59
547,Maharashtra,8,2022,202208, 31-08-2022, M,2.24,46562066,44.17
548,Maharashtra,9,2022,202209, 30-09-2022, M,3.94,46302434,44.61
549,Maharashtra,10,2022,202210, 31-10-2022, M,4.32,45206676,43.64
550,Maharashtra,11,2022,202211, 30-11-2022, M,3.6,47376524,45.31
551,Maharashtra,12,2022,202212, 31-12-2022, M,3.12,47223311,44.85
552,Maharashtra,1,2023,202301, 31-01-2023, M,5.49,45514590,44.22
553,Meghalaya,1,2020,202001, 31-01-2020, M,1.66,1491093,65.49
554,Meghalaya,2,2020,202002, 29-02-2020, M,3.59,1346829,60.2
555,Meghalaya,3,2020,202003, 31-03-2020, M,1.58,1482351,64.74
556,Meghalaya,4,2020,202004, 30-04-2020, M,10.03,965057,45.99
557,Meghalaya,5,2020,202005, 31-05-2020, M,5.92,1215064,55.24
558,Meghalaya,6,2020,202006, 30-06-2020, M,1.15,1350794,58.31
559,Meghalaya,7,2020,202007, 31-07-2020, M,2.1,1448106,62.96
560,Meghalaya,8,2020,202008, 31-08-2020, M,3.74,1357643,59.88
561,Meghalaya,9,2020,202009, 30-09-2020, M,4.29,1459726,64.6
562,Meghalaya,10,2020,202010, 31-10-2020, M,4.6,1381490,61.18
563,Meghalaya,11,2020,202011, 30-11-2020, M,1.12,1425271,60.75
564,Meghalaya,12,2020,202012, 31-12-2020, M,6.58,1320920,59.45
565,Meghalaya,1,2021,202101, 31-01-2021, M,3.28,1412004,61.23
566,Meghalaya,2,2021,202102, 28-02-2021, M,3.83,1326534,57.72
567,Meghalaya,3,2021,202103, 31-03-2021, M,1.31,1516752,64.15
568,Meghalaya,4,2021,202104, 30-04-2021, M,1.44,1385061,58.52
569,Meghalaya,5,2021,202105, 31-05-2021, M,6.49,1293466,57.46
570,Meghalaya,6,2021,202106, 30-06-2021, M,2.84,1472538,62.8
571,Meghalaya,7,2021,202107, 31-07-2021, M,0.39,1598729,66.34
572,Meghalaya,8,2021,202108, 31-08-2021, M,0.58,1444334,59.9
573,Meghalaya,9,2021,202109, 30-09-2021, M,2.06,1497799,62.9
574,Meghalaya,10,2021,202110, 31-10-2021, M,1.82,1326274,55.42
575,Meghalaya,11,2021,202111, 30-11-2021, M,0.73,1486378,61.29
576,Meghalaya,12,2021,202112, 31-12-2021, M,3.04,1363563,57.41
577,Meghalaya,1,2022,202201, 31-01-2022, M,1.51,1461898,60.45
578,Meghalaya,2,2022,202202, 28-02-2022, M,1.41,1545712,63.71
579,Meghalaya,3,2022,202203, 31-03-2022, M,1.99,1464188,60.56
580,Meghalaya,4,2022,202204, 30-04-2022, M,2.23,1428366,59.07
581,Meghalaya,5,2022,202205, 31-05-2022, M,4.06,1465621,61.62
582,Meghalaya,6,2022,202206, 30-06-2022, M,2.32,1453711,59.88
583,Meghalaya,7,2022,202207, 31-07-2022, M,1.49,1522255,62.03
584,Meghalaya,8,2022,202208, 31-08-2022, M,2,1492548,60.98
585,Meghalaya,9,2022,202209, 30-09-2022, M,2.28,1596874,65.27
586,Meghalaya,10,2022,202210, 31-10-2022, M,3.5,1444631,59.65
587,Meghalaya,11,2022,202211, 30-11-2022, M,2.3,1554144,63.23
588,Meghalaya,12,2022,202212, 31-12-2022, M,2.66,1524921,62.11
589,Meghalaya,1,2023,202301, 31-01-2023, M,2.63,1659639,67.41
590,Odisha,1,2020,202001, 31-01-2020, M,1.9,13743448,39.44
591,Odisha,2,2020,202002, 29-02-2020, M,3.12,14280735,41.44
592,Odisha,3,2020,202003, 31-03-2020, M,13.08,12272109,39.62
593,Odisha,4,2020,202004, 30-04-2020, M,23.76,6865693,25.23
594,Odisha,5,2020,202005, 31-05-2020, M,11.41,11730937,37.04
595,Odisha,6,2020,202006, 30-06-2020, M,3.77,12903993,37.45
596,Odisha,7,2020,202007, 31-07-2020, M,1.88,13614400,38.69
597,Odisha,8,2020,202008, 31-08-2020, M,1.42,14154039,39.96
598,Odisha,9,2020,202009, 30-09-2020, M,2.1,13608422,38.63
599,Odisha,10,2020,202010, 31-10-2020, M,2.18,14094553,39.98
600,Odisha,11,2020,202011, 30-11-2020, M,1.7,14294301,40.28
601,Odisha,12,2020,202012, 31-12-2020, M,0.16,14645274,40.57
602,Odisha,1,2021,202101, 31-01-2021, M,2.97,13790183,39.24
603,Odisha,2,2021,202102, 28-02-2021, M,2.46,14077007,39.79
604,Odisha,3,2021,202103, 31-03-2021, M,1.56,14055367,39.29
605,Odisha,4,2021,202104, 30-04-2021, M,1.88,14869145,41.64
606,Odisha,5,2021,202105, 31-05-2021, M,7.02,12976729,38.29
607,Odisha,6,2021,202106, 30-06-2021, M,3.65,13467650,38.28
608,Odisha,7,2021,202107, 31-07-2021, M,1.08,14895116,41.17
609,Odisha,8,2021,202108, 31-08-2021, M,2.17,14349717,40.04
610,Odisha,9,2021,202109, 30-09-2021, M,2.82,13686328,38.38
611,Odisha,10,2021,202110, 31-10-2021, M,1.05,14303074,39.33
612,Odisha,11,2021,202111, 30-11-2021, M,0.59,15384070,42.04
613,Odisha,12,2021,202112, 31-12-2021, M,1.58,14802549,40.79
614,Odisha,1,2022,202201, 31-01-2022, M,1.79,14241847,39.26
615,Odisha,2,2022,202202, 28-02-2022, M,0.99,15169452,41.42
616,Odisha,3,2022,202203, 31-03-2022, M,9.67,13689178,40.9
617,Odisha,4,2022,202204, 30-04-2022, M,1.54,14986632,41.01
618,Odisha,5,2022,202205, 31-05-2022, M,2.62,14342999,39.62
619,Odisha,6,2022,202206, 30-06-2022, M,1.2,15728510,42.76
620,Odisha,7,2022,202207, 31-07-2022, M,0.87,14851779,40.17
621,Odisha,8,2022,202208, 31-08-2022, M,2.58,14149480,38.88
622,Odisha,9,2022,202209, 30-09-2022, M,2.93,14372291,39.57
623,Odisha,10,2022,202210, 31-10-2022, M,1.14,15148929,40.89
624,Odisha,11,2022,202211, 30-11-2022, M,1.57,15467854,41.86
625,Odisha,12,2022,202212, 31-12-2022, M,0.92,15409441,41.36
626,Odisha,1,2023,202301, 31-01-2023, M,1.49,14740136,39.72
627,Puducherry,1,2020,202001, 31-01-2020, M,0.58,457950,37.46
628,Puducherry,2,2020,202002, 29-02-2020, M,1.76,493961,40.8
629,Puducherry,3,2020,202003, 31-03-2020, M,1.2,421028,34.49
630,Puducherry,4,2020,202004, 30-04-2020, M,75.85,117542,39.3
631,Puducherry,5,2020,202005, 31-05-2020, M,58.19,172308,33.19
632,Puducherry,6,2020,202006, 30-06-2020, M,4.24,367135,30.8
633,Puducherry,7,2020,202007, 31-07-2020, M,15.47,386563,36.64
634,Puducherry,8,2020,202008, 31-08-2020, M,5.05,396006,33.34
635,Puducherry,9,2020,202009, 30-09-2020, M,10.9,411717,36.84
636,Puducherry,10,2020,202010, 31-10-2020, M,6.18,428419,36.32
637,Puducherry,11,2020,202011, 30-11-2020, M,2.18,407505,33.05
638,Puducherry,12,2020,202012, 31-12-2020, M,2.7,415410,33.79
639,Puducherry,1,2021,202101, 31-01-2021, M,7.56,420079,35.87
640,Puducherry,2,2021,202102, 28-02-2021, M,5.76,420318,35.13
641,Puducherry,3,2021,202103, 31-03-2021, M,1.44,418321,33.34
642,Puducherry,4,2021,202104, 30-04-2021, M,2.72,424356,34.19
643,Puducherry,5,2021,202105, 31-05-2021, M,23.97,348683,35.85
644,Puducherry,6,2021,202106, 30-06-2021, M,47.12,222864,32.86
645,Puducherry,7,2021,202107, 31-07-2021, M,9.58,408760,35.16
646,Puducherry,8,2021,202108, 31-08-2021, M,8.57,462760,39.27
647,Puducherry,9,2021,202109, 30-09-2021, M,11.17,416187,36.26
648,Puducherry,10,2021,202110, 31-10-2021, M,6.02,425097,34.92
649,Puducherry,11,2021,202111, 30-11-2021, M,6.29,429628,35.3
650,Puducherry,12,2021,202112, 31-12-2021, M,6.22,464517,38.05
651,Puducherry,1,2022,202201, 31-01-2022, M,7.76,431656,35.86
652,Puducherry,2,2022,202202, 28-02-2022, M,3.71,436960,34.69
653,Puducherry,3,2022,202203, 31-03-2022, M,4.22,437602,34.84
654,Puducherry,4,2022,202204, 30-04-2022, M,5.56,489100,39.39
655,Puducherry,5,2022,202205, 31-05-2022, M,5.58,449016,36.08
656,Puducherry,6,2022,202206, 30-06-2022, M,0.85,446761,34.1
657,Puducherry,7,2022,202207, 31-07-2022, M,2.82,443305,34.44
658,Puducherry,8,2022,202208, 31-08-2022, M,5.17,488508,38.79
659,Puducherry,9,2022,202209, 30-09-2022, M,3.92,471985,36.9
660,Puducherry,10,2022,202210, 31-10-2022, M,2.65,445308,34.27
661,Puducherry,11,2022,202211, 30-11-2022, M,2.88,447376,34.43
662,Puducherry,12,2022,202212, 31-12-2022, M,4.74,511926,40.06
663,Puducherry,1,2023,202301, 31-01-2023, M,5.34,465279,36.55
664,Punjab,1,2020,202001, 31-01-2020, M,11.11,9442093,42.82
665,Punjab,2,2020,202002, 29-02-2020, M,10.97,9229047,41.72
666,Punjab,3,2020,202003, 31-03-2020, M,10.32,9975485,44.69
667,Punjab,4,2020,202004, 30-04-2020, M,2.86,7020565,28.99
668,Punjab,5,2020,202005, 31-05-2020, M,28.33,6872938,38.39
669,Punjab,6,2020,202006, 30-06-2020, M,16.55,8390766,40.18
670,Punjab,7,2020,202007, 31-07-2020, M,9.19,9732417,42.76
671,Punjab,8,2020,202008, 31-08-2020, M,10.99,9386169,41.99
672,Punjab,9,2020,202009, 30-09-2020, M,9.61,8979999,39.5
673,Punjab,10,2020,202010, 31-10-2020, M,9.83,8811756,38.78
674,Punjab,11,2020,202011, 30-11-2020, M,7.64,9550215,40.96
675,Punjab,12,2020,202012, 31-12-2020, M,4.37,9369173,38.75
676,Punjab,1,2021,202101, 31-01-2021, M,8.09,9097268,39.07
677,Punjab,2,2021,202102, 28-02-2021, M,7.21,9037550,38.39
678,Punjab,3,2021,202103, 31-03-2021, M,7.35,9590215,40.73
679,Punjab,4,2021,202104, 30-04-2021, M,5.33,9367881,38.87
680,Punjab,5,2021,202105, 31-05-2021, M,8.84,8900420,38.28
