Row no.,Region,Month:,Year:,Year & moths, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
681,Punjab,6,2021,202106, 30-06-2021, M,8.27,9008366,38.44
682,Punjab,7,2021,202107, 31-07-2021, M,6.93,9706975,40.75
683,Punjab,8,2021,202108, 31-08-2021, M,6.05,9462403,39.28
684,Punjab,9,2021,202109, 30-09-2021, M,9.28,8935927,38.35
685,Punjab,10,2021,202110, 31-10-2021, M,11.41,8722548,38.27
686,Punjab,11,2021,202111, 30-11-2021, M,6.7,9835327,40.9
687,Punjab,12,2021,202112, 31-12-2021, M,6.78,9577559,39.8
688,Punjab,1,2022,202201, 31-01-2022, M,9.31,8953493,38.17
689,Punjab,2,2022,202202, 28-02-2022, M,8.99,9030318,38.3
690,Punjab,3,2022,202203, 31-03-2022, M,6.94,9842359,40.76
691,Punjab,4,2022,202204, 30-04-2022, M,7.25,9632697,39.95
692,Punjab,5,2022,202205, 31-05-2022, M,9.15,9172799,38.77
693,Punjab,6,2022,202206, 30-06-2022, M,8.51,9204594,38.57
694,Punjab,7,2022,202207, 31-07-2022, M,7.72,10067229,41.75
695,Punjab,8,2022,202208, 31-08-2022, M,7.44,9653813,39.84
696,Punjab,9,2022,202209, 30-09-2022, M,7.18,9304724,38.23
697,Punjab,10,2022,202210, 31-10-2022, M,9.05,9274752,38.82
698,Punjab,11,2022,202211, 30-11-2022, M,7.8,9952497,41.02
699,Punjab,12,2022,202212, 31-12-2022, M,6.78,9976858,40.6
700,Punjab,1,2023,202301, 31-01-2023, M,6.75,9618109,39.06
701,Rajasthan,1,2020,202001, 31-01-2020, M,10.97,20641716,40.51
702,Rajasthan,2,2020,202002, 29-02-2020, M,15.16,20328915,41.77
703,Rajasthan,3,2020,202003, 31-03-2020, M,11.9,20024680,39.54
704,Rajasthan,4,2020,202004, 30-04-2020, M,17.7,15984142,33.71
705,Rajasthan,5,2020,202005, 31-05-2020, M,15.74,19826602,40.74
706,Rajasthan,6,2020,202006, 30-06-2020, M,14.39,20506612,41.38
707,Rajasthan,7,2020,202007, 31-07-2020, M,15.81,19932393,40.8
708,Rajasthan,8,2020,202008, 31-08-2020, M,17.51,20014060,41.71
709,Rajasthan,9,2020,202009, 30-09-2020, M,15.35,20149594,40.83
710,Rajasthan,10,2020,202010, 31-10-2020, M,24.1,19913403,44.9
711,Rajasthan,11,2020,202011, 30-11-2020, M,18.52,20268396,42.47
712,Rajasthan,12,2020,202012, 31-12-2020, M,28.23,19786545,46.96
713,Rajasthan,1,2021,202101, 31-01-2021, M,17.69,21125626,43.62
714,Rajasthan,2,2021,202102, 28-02-2021, M,25.63,20096427,45.83
715,Rajasthan,3,2021,202103, 31-03-2021, M,19.74,20392741,42.99
716,Rajasthan,4,2021,202104, 30-04-2021, M,28.04,19857143,46.58
717,Rajasthan,5,2021,202105, 31-05-2021, M,27.64,18671874,43.45
718,Rajasthan,6,2021,202106, 30-06-2021, M,26.27,20321049,46.31
719,Rajasthan,7,2021,202107, 31-07-2021, M,21.06,20661802,43.88
720,Rajasthan,8,2021,202108, 31-08-2021, M,26.69,20521536,46.81
721,Rajasthan,9,2021,202109, 30-09-2021, M,17.87,21092269,42.85
722,Rajasthan,10,2021,202110, 31-10-2021, M,29.52,20463351,48.32
723,Rajasthan,11,2021,202111, 30-11-2021, M,20.23,20322679,42.31
724,Rajasthan,12,2021,202112, 31-12-2021, M,27.12,20152764,45.81
725,Rajasthan,1,2022,202201, 31-01-2022, M,18.95,20683321,42.18
726,Rajasthan,2,2022,202202, 28-02-2022, M,32.39,19511908,47.6
727,Rajasthan,3,2022,202203, 31-03-2022, M,24.48,19672111,42.86
728,Rajasthan,4,2022,202204, 30-04-2022, M,28.8,20196775,46.57
729,Rajasthan,5,2022,202205, 31-05-2022, M,22.2,20783118,43.76
730,Rajasthan,6,2022,202206, 30-06-2022, M,29.94,19802373,46.19
731,Rajasthan,7,2022,202207, 31-07-2022, M,19.59,20044206,40.64
732,Rajasthan,8,2022,202208, 31-08-2022, M,31.44,19531626,46.34
733,Rajasthan,9,2022,202209, 30-09-2022, M,23.95,20331809,43.38
734,Rajasthan,10,2022,202210, 31-10-2022, M,31.29,19493522,45.93
735,Rajasthan,11,2022,202211, 30-11-2022, M,25,19827863,42.7
736,Rajasthan,12,2022,202212, 31-12-2022, M,28.47,20105968,45.3
737,Rajasthan,1,2023,202301, 31-01-2023, M,21.11,20975481,42.74
738,Sikkim,3,2020,202003, 31-03-2020, M,23.57,262895,60.59
739,Sikkim,4,2020,202004, 30-04-2020, M,2.28,215303,38.7
740,Sikkim,5,2020,202005, 31-05-2020, M,24.51,193427,44.88
741,Sikkim,6,2020,202006, 30-06-2020, M,4.46,221058,40.4
742,Sikkim,7,2020,202007, 31-07-2020, M,4.45,265175,48.32
743,Sikkim,8,2020,202008, 31-08-2020, M,12.49,244462,48.49
744,Sikkim,9,2020,202009, 30-09-2020, M,5.7,231798,42.54
745,Sikkim,10,2020,202010, 31-10-2020, M,0.88,242068,42.13
746,Sikkim,11,2020,202011, 30-11-2020, M,1.85,265087,46.46
747,Sikkim,12,2020,202012, 31-12-2020, M,0.67,291263,50.29
748,Sikkim,1,2021,202101, 31-01-2021, M,0,271163,46.35
749,Sikkim,2,2021,202102, 28-02-2021, M,4.29,269144,47.94
750,Sikkim,3,2021,202103, 31-03-2021, M,1.74,268111,46.37
751,Sikkim,4,2021,202104, 30-04-2021, M,1.8,260191,44.89
752,Sikkim,5,2021,202105, 31-05-2021, M,4.19,271870,47.92
753,Sikkim,6,2021,202106, 30-06-2021, M,0,264393,44.51
754,Sikkim,7,2021,202107, 31-07-2021, M,0,291920,48.99
755,Sikkim,8,2021,202108, 31-08-2021, M,0,275861,46.14
756,Sikkim,10,2021,202110, 31-10-2021, M,9.98,253543,46.81
757,Sikkim,4,2022,202204, 30-04-2022, M,8.67,249365,44.5
758,Sikkim,5,2022,202205, 31-05-2022, M,7.52,267699,47.02
759,Sikkim,6,2022,202206, 30-06-2022, M,12.69,191149,35.45
760,Sikkim,7,2022,202207, 31-07-2022, M,6.47,214996,37.09
761,Sikkim,10,2022,202210, 31-10-2022, M,3.85,220451,36.62
762,Sikkim,11,2022,202211, 30-11-2022, M,5.68,231195,39.01
763,Sikkim,12,2022,202212, 31-12-2022, M,13.56,308569,56.62
764,Sikkim,1,2023,202301, 31-01-2023, M,2.43,281532,45.6
765,Tamil Nadu,1,2020,202001, 31-01-2020, M,1.57,26881641,41.96
766,Tamil Nadu,2,2020,202002, 29-02-2020, M,2.09,27570589,43.2
767,Tamil Nadu,3,2020,202003, 31-03-2020, M,6.4,26830768,43.91
768,Tamil Nadu,4,2020,202004, 30-04-2020, M,49.83,9719167,29.63
769,Tamil Nadu,5,2020,202005, 31-05-2020, M,33.16,11483256,26.23
770,Tamil Nadu,6,2020,202006, 30-06-2020, M,12.2,19096847,33.16
771,Tamil Nadu,7,2020,202007, 31-07-2020, M,6.81,24572827,40.13
772,Tamil Nadu,8,2020,202008, 31-08-2020, M,2.65,27046415,42.22
773,Tamil Nadu,9,2020,202009, 30-09-2020, M,5,23025845,36.77
774,Tamil Nadu,10,2020,202010, 31-10-2020, M,2.16,23651626,36.62
775,Tamil Nadu,11,2020,202011, 30-11-2020, M,1.15,24629525,37.68
776,Tamil Nadu,12,2020,202012, 31-12-2020, M,0.53,25020860,37.98
777,Tamil Nadu,1,2021,202101, 31-01-2021, M,3.99,22930424,36
778,Tamil Nadu,2,2021,202102, 28-02-2021, M,4.79,23539357,37.22
779,Tamil Nadu,3,2021,202103, 31-03-2021, M,3.02,24688097,38.26
780,Tamil Nadu,4,2021,202104, 30-04-2021, M,2.34,24591402,37.78
781,Tamil Nadu,5,2021,202105, 31-05-2021, M,27.97,14183803,29.5
782,Tamil Nadu,6,2021,202106, 30-06-2021, M,8.3,19876121,32.42
783,Tamil Nadu,7,2021,202107, 31-07-2021, M,4.78,24651814,38.66
784,Tamil Nadu,8,2021,202108, 31-08-2021, M,6.27,23991586,38.16
785,Tamil Nadu,9,2021,202109, 30-09-2021, M,7,22076645,35.34
786,Tamil Nadu,10,2021,202110, 31-10-2021, M,4.89,22604681,35.32
787,Tamil Nadu,11,2021,202111, 30-11-2021, M,5.13,24405134,38.17
788,Tamil Nadu,12,2021,202112, 31-12-2021, M,6.91,23072393,36.72
789,Tamil Nadu,1,2022,202201, 31-01-2022, M,5.3,22542644,35.21
790,Tamil Nadu,2,2022,202202, 28-02-2022, M,3.23,22265049,33.98
791,Tamil Nadu,3,2022,202203, 31-03-2022, M,4.13,23845915,36.67
792,Tamil Nadu,4,2022,202204, 30-04-2022, M,3.17,22836874,34.72
793,Tamil Nadu,5,2022,202205, 31-05-2022, M,3.09,21764549,33.01
794,Tamil Nadu,6,2022,202206, 30-06-2022, M,2.11,21898382,32.83
795,Tamil Nadu,7,2022,202207, 31-07-2022, M,2.97,24187335,36.52
796,Tamil Nadu,8,2022,202208, 31-08-2022, M,7.19,21318737,33.6
797,Tamil Nadu,9,2022,202209, 30-09-2022, M,4.07,23774369,36.19
798,Tamil Nadu,10,2022,202210, 31-10-2022, M,2.97,24528515,36.86
799,Tamil Nadu,11,2022,202211, 30-11-2022, M,3.78,25004242,37.83
800,Tamil Nadu,12,2022,202212, 31-12-2022, M,4.12,25379593,38.48
801,Tamil Nadu,1,2023,202301, 31-01-2023, M,1.78,27549806,40.7
802,Telangana,1,2020,202001, 31-01-2020, M,5.49,17609295,59.25
803,Telangana,2,2020,202002, 29-02-2020, M,8.29,16825970,58.24
804,Telangana,3,2020,202003, 31-03-2020, M,5.77,17341613,58.31
805,Telangana,4,2020,202004, 30-04-2020, M,6.25,12172230,41.06
806,Telangana,5,2020,202005, 31-05-2020, M,14.7,14977774,55.43
807,Telangana,6,2020,202006, 30-06-2020, M,10.55,15108910,53.22
808,Telangana,7,2020,202007, 31-07-2020, M,5.36,15679417,52.1
809,Telangana,8,2020,202008, 31-08-2020, M,5.79,18185429,60.59
810,Telangana,9,2020,202009, 30-09-2020, M,3.27,16958984,54.93
811,Telangana,10,2020,202010, 31-10-2020, M,2.93,17417825,56.11
812,Telangana,11,2020,202011, 30-11-2020, M,1.56,17190976,54.51
813,Telangana,12,2020,202012, 31-12-2020, M,7.05,13239092,44.37
814,Telangana,1,2021,202101, 31-01-2021, M,4.26,16304175,52.95
815,Telangana,2,2021,202102, 28-02-2021, M,5.58,16040348,52.73
816,Telangana,3,2021,202103, 31-03-2021, M,3.67,16373619,52.65
817,Telangana,4,2021,202104, 30-04-2021, M,5.05,14105009,45.94
818,Telangana,5,2021,202105, 31-05-2021, M,7.2,16891260,56.18
819,Telangana,6,2021,202106, 30-06-2021, M,4.78,15077504,48.78
820,Telangana,7,2021,202107, 31-07-2021, M,4.01,16094158,51.55
821,Telangana,8,2021,202108, 31-08-2021, M,4.66,16234011,52.25
822,Telangana,9,2021,202109, 30-09-2021, M,3.63,16852051,53.56
823,Telangana,10,2021,202110, 31-10-2021, M,4.13,16904140,53.9
824,Telangana,11,2021,202111, 30-11-2021, M,4.14,16193012,51.54
825,Telangana,12,2021,202112, 31-12-2021, M,2.16,17128340,53.32
826,Telangana,1,2022,202201, 31-01-2022, M,0.69,16099871,49.28
827,Telangana,2,2022,202202, 28-02-2022, M,12.95,14999753,52.28
828,Telangana,3,2022,202203, 31-03-2022, M,6.55,16077052,52.1
829,Telangana,4,2022,202204, 30-04-2022, M,9.91,16573703,55.61
830,Telangana,5,2022,202205, 31-05-2022, M,9.37,16844961,56.08
831,Telangana,6,2022,202206, 30-06-2022, M,9.99,13673720,45.75
832,Telangana,7,2022,202207, 31-07-2022, M,5.83,13300384,42.45
833,Telangana,8,2022,202208, 31-08-2022, M,6.91,14339051,46.21
834,Telangana,9,2022,202209, 30-09-2022, M,8.55,14120592,46.24
835,Telangana,10,2022,202210, 31-10-2022, M,8.8,13950191,45.71
836,Telangana,11,2022,202211, 30-11-2022, M,6.03,13199882,41.9
837,Telangana,12,2022,202212, 31-12-2022, M,4.11,15075104,46.81
838,Telangana,1,2023,202301, 31-01-2023, M,5.3,13984384,43.88
839,Tripura,1,2020,202001, 31-01-2020, M,32.67,1508130,69.69
840,Tripura,2,2020,202002, 29-02-2020, M,28.4,1584686,68.74
841,Tripura,3,2020,202003, 31-03-2020, M,29.95,1511217,66.89
842,Tripura,4,2020,202004, 30-04-2020, M,41.23,971514,51.16
843,Tripura,5,2020,202005, 31-05-2020, M,21.51,1290986,50.81
844,Tripura,6,2020,202006, 30-06-2020, M,21.71,1494140,58.85
845,Tripura,7,2020,202007, 31-07-2020, M,18.24,1348849,50.78
846,Tripura,8,2020,202008, 31-08-2020, M,27.92,1318621,56.21
847,Tripura,9,2020,202009, 30-09-2020, M,17.35,1368244,50.77
848,Tripura,10,2020,202010, 31-10-2020, M,11.57,1576529,54.58
849,Tripura,11,2020,202011, 30-11-2020, M,13.06,1454568,51.13
850,Tripura,12,2020,202012, 31-12-2020, M,18.21,1389711,51.82
851,Tripura,1,2021,202101, 31-01-2021, M,18.15,1395070,51.89
852,Tripura,2,2021,202102, 28-02-2021, M,11.05,1629794,55.69
853,Tripura,3,2021,202103, 31-03-2021, M,13.94,1493608,52.65
854,Tripura,4,2021,202104, 30-04-2021, M,17.28,1436936,52.61
855,Tripura,5,2021,202105, 31-05-2021, M,19.93,1350783,50.99
856,Tripura,6,2021,202106, 30-06-2021, M,9.62,1651388,55.13
857,Tripura,7,2021,202107, 31-07-2021, M,13.34,1577784,54.83
858,Tripura,8,2021,202108, 31-08-2021, M,15.6,1497924,53.35
859,Tripura,9,2021,202109, 30-09-2021, M,15.28,1435595,50.85
860,Tripura,10,2021,202110, 31-10-2021, M,9.95,1682211,55.95
861,Tripura,11,2021,202111, 30-11-2021, M,13.41,1549956,53.52
862,Tripura,12,2021,202112, 31-12-2021, M,14.73,1516375,53.07
863,Tripura,1,2022,202201, 31-01-2022, M,17.14,1405691,50.53
864,Tripura,2,2022,202202, 28-02-2022, M,9.77,1577800,52
865,Tripura,3,2022,202203, 31-03-2022, M,14.08,1549348,53.53
866,Tripura,4,2022,202204, 30-04-2022, M,14.6,1529154,53.05
867,Tripura,5,2022,202205, 31-05-2022, M,17.35,1369861,49.02
868,Tripura,6,2022,202206, 30-06-2022, M,9.45,1617909,52.75
869,Tripura,7,2022,202207, 31-07-2022, M,13.01,1559377,52.82
870,Tripura,8,2022,202208, 31-08-2022, M,16.26,1506718,52.92
871,Tripura,9,2022,202209, 30-09-2022, M,17.02,1409925,49.88
872,Tripura,10,2022,202210, 31-10-2022, M,10.61,1688307,55.35
873,Tripura,11,2022,202211, 30-11-2022, M,14.37,1590210,54.33
874,Tripura,12,2022,202212, 31-12-2022, M,14.34,1513071,51.57
875,Tripura,1,2023,202301, 31-01-2023, M,16,1434622,49.78
876,Uttar Pradesh,1,2020,202001, 31-01-2020, M,7.58,59433759,39.63
877,Uttar Pradesh,2,2020,202002, 29-02-2020, M,8.98,58060531,39.23
878,Uttar Pradesh,3,2020,202003, 31-03-2020, M,10.11,56976338,38.89
879,Uttar Pradesh,4,2020,202004, 30-04-2020, M,21.54,50915056,39.73
880,Uttar Pradesh,5,2020,202005, 31-05-2020, M,20.41,49801902,38.22
881,Uttar Pradesh,6,2020,202006, 30-06-2020, M,9.47,55380649,37.29
882,Uttar Pradesh,7,2020,202007, 31-07-2020, M,5.56,56201654,36.19
883,Uttar Pradesh,8,2020,202008, 31-08-2020, M,5.79,55831744,35.96
884,Uttar Pradesh,9,2020,202009, 30-09-2020, M,4.18,56106836,35.45
885,Uttar Pradesh,10,2020,202010, 31-10-2020, M,3.75,56539521,35.49
886,Uttar Pradesh,11,2020,202011, 30-11-2020, M,5.16,56720101,36.05
887,Uttar Pradesh,12,2020,202012, 31-12-2020, M,14.95,55796313,39.46
888,Uttar Pradesh,1,2021,202101, 31-01-2021, M,4.89,55124290,34.78
889,Uttar Pradesh,2,2021,202102, 28-02-2021, M,4.1,56568780,35.33
890,Uttar Pradesh,3,2021,202103, 31-03-2021, M,4.14,55834036,34.8
891,Uttar Pradesh,4,2021,202104, 30-04-2021, M,6.3,56962368,36.25
892,Uttar Pradesh,5,2021,202105, 31-05-2021, M,6.89,55829255,35.67
893,Uttar Pradesh,6,2021,202106, 30-06-2021, M,4.32,55933912,34.7
894,Uttar Pradesh,7,2021,202107, 31-07-2021, M,4.95,55247629,34.43
895,Uttar Pradesh,8,2021,202108, 31-08-2021, M,6.98,56472386,35.88
896,Uttar Pradesh,9,2021,202109, 30-09-2021, M,4.98,55224547,34.27
897,Uttar Pradesh,10,2021,202110, 31-10-2021, M,4.22,55516008,34.1
898,Uttar Pradesh,11,2021,202111, 30-11-2021, M,4.83,56435220,34.81
899,Uttar Pradesh,12,2021,202112, 31-12-2021, M,4.86,57314791,35.29
900,Uttar Pradesh,1,2022,202201, 31-01-2022, M,2.97,55591271,33.48
901,Uttar Pradesh,2,2022,202202, 28-02-2022, M,2.71,55367064,33.19
902,Uttar Pradesh,3,2022,202203, 31-03-2022, M,4.36,55481938,33.76
903,Uttar Pradesh,4,2022,202204, 30-04-2022, M,2.94,56316092,33.69
904,Uttar Pradesh,5,2022,202205, 31-05-2022, M,3.13,55032093,32.91
905,Uttar Pradesh,6,2022,202206, 30-06-2022, M,2.75,55312199,32.88
906,Uttar Pradesh,7,2022,202207, 31-07-2022, M,3.3,55043699,32.83
907,Uttar Pradesh,8,2022,202208, 31-08-2022, M,3.94,55878283,33.47
908,Uttar Pradesh,9,2022,202209, 30-09-2022, M,4.01,55177434,33.01
909,Uttar Pradesh,10,2022,202210, 31-10-2022, M,4.14,54948340,32.84
910,Uttar Pradesh,11,2022,202211, 30-11-2022, M,4.11,56185821,33.5
911,Uttar Pradesh,12,2022,202212, 31-12-2022, M,4.33,56983308,33.97
912,Uttar Pradesh,1,2023,202301, 31-01-2023, M,4.22,56447211,33.54
913,Uttarakhand,1,2020,202001, 31-01-2020, M,5.49,2711639,32.99
914,Uttarakhand,2,2020,202002, 29-02-2020, M,4.99,3020931,36.48
915,Uttarakhand,3,2020,202003, 31-03-2020, M,19.85,2539302,36.27
916,Uttarakhand,4,2020,202004, 30-04-2020, M,6.48,2720115,33.23
917,Uttarakhand,5,2020,202005, 31-05-2020, M,8.01,2694072,33.38
918,Uttarakhand,6,2020,202006, 30-06-2020, M,8.61,2656071,33.06
919,Uttarakhand,7,2020,202007, 31-07-2020, M,12.38,2938552,38.07
920,Uttarakhand,8,2020,202008, 31-08-2020, M,14.26,2717528,35.9
921,Uttarakhand,9,2020,202009, 30-09-2020, M,22.26,2695230,39.18
922,Uttarakhand,10,2020,202010, 31-10-2020, M,9.23,2739309,34.03
923,Uttarakhand,11,2020,202011, 30-11-2020, M,1.47,2447664,27.95
924,Uttarakhand,12,2020,202012, 31-12-2020, M,5.19,2647822,31.36
925,Uttarakhand,1,2021,202101, 31-01-2021, M,4.45,2531098,29.68
926,Uttarakhand,2,2021,202102, 28-02-2021, M,4.69,2775542,32.56
927,Uttarakhand,3,2021,202103, 31-03-2021, M,3.26,2511431,28.96
928,Uttarakhand,4,2021,202104, 30-04-2021, M,5.96,2852350,33.77
929,Uttarakhand,5,2021,202105, 31-05-2021, M,5.49,2447140,28.76
930,Uttarakhand,6,2021,202106, 30-06-2021, M,4.81,2822878,32.87
931,Uttarakhand,7,2021,202107, 31-07-2021, M,3.17,2531701,28.92
932,Uttarakhand,8,2021,202108, 31-08-2021, M,6.22,2774922,32.65
933,Uttarakhand,9,2021,202109, 30-09-2021, M,4.14,2524240,29
934,Uttarakhand,10,2021,202110, 31-10-2021, M,3.34,2872131,32.65
935,Uttarakhand,11,2021,202111, 30-11-2021, M,3.12,2605053,29.48
936,Uttarakhand,12,2021,202112, 31-12-2021, M,5.01,2780810,32.03
937,Uttarakhand,1,2022,202201, 31-01-2022, M,3.47,2600359,29.41
938,Uttarakhand,2,2022,202202, 28-02-2022, M,4.58,2723982,31.1
939,Uttarakhand,3,2022,202203, 31-03-2022, M,3.51,2464361,27.76
940,Uttarakhand,4,2022,202204, 30-04-2022, M,5.33,2755947,31.58
941,Uttarakhand,5,2022,202205, 31-05-2022, M,2.85,2575497,28.69
942,Uttarakhand,6,2022,202206, 30-06-2022, M,8.67,2707464,32.01
943,Uttarakhand,9,2022,202209, 30-09-2022, M,0.53,2853151,30.77
944,Uttarakhand,10,2022,202210, 31-10-2022, M,3.27,2669193,29.54
945,Uttarakhand,11,2022,202211, 30-11-2022, M,1.24,2874793,31.09
946,Uttarakhand,12,2022,202212, 31-12-2022, M,4.22,2811428,31.28
947,Uttarakhand,1,2023,202301, 31-01-2023, M,2.23,2631929,28.63
948,West Bengal,1,2020,202001, 31-01-2020, M,6.94,35820789,47.35
949,West Bengal,2,2020,202002, 29-02-2020, M,4.92,36964178,47.74
950,West Bengal,3,2020,202003, 31-03-2020, M,6.92,35903917,47.27
951,West Bengal,4,2020,202004, 30-04-2020, M,17.41,26938836,39.9
952,West Bengal,5,2020,202005, 31-05-2020, M,17.41,28356675,41.92
953,West Bengal,6,2020,202006, 30-06-2020, M,7.29,30726310,40.39
954,West Bengal,7,2020,202007, 31-07-2020, M,6.83,35372506,46.17
955,West Bengal,8,2020,202008, 31-08-2020, M,14.87,33298644,47.48
956,West Bengal,9,2020,202009, 30-09-2020, M,9.31,35877583,47.93
957,West Bengal,10,2020,202010, 31-10-2020, M,10.22,33856332,45.6
958,West Bengal,11,2020,202011, 30-11-2020, M,11.24,33420675,45.45
959,West Bengal,12,2020,202012, 31-12-2020, M,6.01,35829652,45.93
960,West Bengal,1,2021,202101, 31-01-2021, M,5.25,36563881,46.4
961,West Bengal,2,2021,202102, 28-02-2021, M,6.22,37127736,47.52
962,West Bengal,3,2021,202103, 31-03-2021, M,7.51,35827410,46.41
963,West Bengal,4,2021,202104, 30-04-2021, M,7.63,34849346,45.11
964,West Bengal,5,2021,202105, 31-05-2021, M,19.34,28897052,42.75
965,West Bengal,6,2021,202106, 30-06-2021, M,22.14,30440202,46.57
966,West Bengal,7,2021,202107, 31-07-2021, M,7.37,35267884,45.26
967,West Bengal,8,2021,202108, 31-08-2021, M,7.41,35376844,45.34
968,West Bengal,9,2021,202109, 30-09-2021, M,6.8,36442890,46.31
969,West Bengal,10,2021,202110, 31-10-2021, M,5.6,36583286,45.81
970,West Bengal,11,2021,202111, 30-11-2021, M,6.68,35748702,45.2
971,West Bengal,12,2021,202112, 31-12-2021, M,7.33,35652535,45.31
972,West Bengal,1,2022,202201, 31-01-2022, M,6.43,36913541,46.37
973,West Bengal,2,2022,202202, 28-02-2022, M,6.27,36465383,45.65
974,West Bengal,3,2022,202203, 31-03-2022, M,5.57,35396256,43.9
975,West Bengal,4,2022,202204, 30-04-2022, M,6.25,35900743,44.76
976,West Bengal,5,2022,202205, 31-05-2022, M,5.75,37816306,46.81
977,West Bengal,6,2022,202206, 30-06-2022, M,5.23,36584378,44.95
978,West Bengal,7,2022,202207, 31-07-2022, M,6.26,35776902,44.36
979,West Bengal,8,2022,202208, 31-08-2022, M,7.39,35811552,44.85
980,West Bengal,9,2022,202209, 30-09-2022, M,3.27,36846450,44.1
981,West Bengal,10,2022,202210, 31-10-2022, M,5.8,36185965,44.39
982,West Bengal,11,2022,202211, 30-11-2022, M,5.37,36098496,44
983,West Bengal,12,2022,202212, 31-12-2022, M,5.55,37466025,45.66
984,West Bengal,1,2023,202301, 31-01-2023, M,5.01,36401209,44.03
985,India,1,2020,202001, 31-01-2020, M,7.22,410473913,42.9
986,India,2,2020,202002, 29-02-2020, M,7.76,405954169,42.6
987,India,3,2020,202003, 31-03-2020, M,8.75,395840756,41.9
988,India,4,2020,202004, 30-04-2020, M,23.52,282203816,35.57
989,India,5,2020,202005, 31-05-2020, M,21.73,313793837,38.57
990,India,6,2020,202006, 30-06-2020, M,10.18,376993536,40.3
991,India,7,2020,202007, 31-07-2020, M,7.4,392341064,40.61
992,India,8,2020,202008, 31-08-2020, M,8.35,392520303,40.96
993,India,9,2020,202009, 30-09-2020, M,6.68,397739844,40.68
994,India,10,2020,202010, 31-10-2020, M,7.02,396450375,40.62
995,India,11,2020,202011, 30-11-2020, M,6.5,394133855,40.08
996,India,12,2020,202012, 31-12-2020, M,9.06,388777142,40.56
997,India,1,2021,202101, 31-01-2021, M,6.52,400709258,40.59
998,India,2,2021,202102, 28-02-2021, M,6.89,398213434,40.43
999,India,3,2021,202103, 31-03-2021, M,6.5,398145073,40.17
1000,India,4,2021,202104, 30-04-2021, M,7.97,390790128,39.98
1001,India,5,2021,202105, 31-05-2021, M,11.84,375727008,40.04
1002,India,6,2021,202106, 30-06-2021, M,9.17,383469051,39.59
1003,India,7,2021,202107, 31-07-2021, M,6.96,399714145,40.21
1004,India,8,2021,202108, 31-08-2021, M,8.32,397784327,40.52
1005,India,9,2021,202109, 30-09-2021, M,6.86,406104468,40.64
1006,India,10,2021,202110, 31-10-2021, M,7.74,400886546,40.42
1007,India,11,2021,202111, 30-11-2021, M,6.97,402664041,40.19
1008,India,12,2021,202112, 31-12-2021, M,7.91,406012456,40.85
1009,India,1,2022,202201, 31-01-2022, M,6.56,402616049,39.84
1010,India,2,2022,202202, 28-02-2022, M,8.11,397057157,39.89
1011,India,3,2022,202203, 31-03-2022, M,7.57,395969754,39.46
1012,India,4,2022,202204, 30-04-2022, M,7.83,402949020,40.19
1013,India,5,2022,202205, 31-05-2022, M,7.14,403886697,39.9
1014,India,6,2022,202206, 30-06-2022, M,7.83,390822128,38.83
1015,India,7,2022,202207, 31-07-2022, M,6.83,397050067,38.94
1016,India,8,2022,202208, 31-08-2022, M,8.28,394606374,39.24
1017,India,9,2022,202209, 30-09-2022, M,6.43,404078772,39.31
1018,India,10,2022,202210, 31-10-2022, M,7.92,398496185,39.31
1019,India,11,2022,202211, 30-11-2022, M,8.03,402126213,39.64
1020,India,12,2022,202212, 31-12-2022, M,8.3,410238658,40.48
1021,India,1,2023,202301, 31-01-2023, M,7.14,409283832,39.8
